En/SP|En/SP|correct
una/DI|una/DI|correct
carta/NC|carta/NC|correct
a/SP|a/SP|correct
el/DA|el/DA|correct
seu/PX|seu/PX|correct
amic/NC|amic/NC|correct
Soler/NP|Soler/NP|correct
i/CC|i/CC|correct
Miquel/NP|Miquel/NP|correct
que/PR|que/PR|correct
inclou/VM|inclou/VM|correct
el/DA|el/DA|correct
poema/NC|poema/NC|correct
,/FF|,/FF|correct
Maragall/NP|Maragall/NP|correct
el/DA|el/PP|wrong
descriu/VM|descriu/VM|correct
com/CS|com/CS|correct
a/SP|a/SP|correct
flor/NC|flor/NC|correct
de/SP|de/SP|correct
salut/NC|salut/NC|correct
ociosa/AQ|ociosa/AQ|correct
./FF|./FF|correct
Segons/SP|Segons/SP|correct
l'/DA|l'/DA|correct
estudiós/AQ|estudiós/NC|wrong
de/SP|de/SP|correct
l'/DA|l'/DA|correct
obra/NC|obra/NC|correct
de/SP|de/SP|correct
Maragall/NP|Maragall/NP|correct
,/FF|,/FF|correct
Arthur_Terry/NP|Arthur_Terry/NP|correct
,/FF|,/FF|correct
el/DA|el/DA|correct
que/PR|que/PR|correct
vol/VM|vol/VM|correct
dir/VM|dir/VM|correct
és/VS|és/VS|correct
que/CS|que/PR|wrong
només/RG|només/RG|correct
en/SP|en/SP|correct
un/DI|un/DI|correct
estat/NC|estat/NC|correct
de/SP|de/SP|correct
salut/NC|salut/NC|correct
,/FF|,/FF|correct
d'/SP|d'/SP|correct
equilibri/NC|equilibri/NC|correct
físic/AQ|físic/AQ|correct
i/CC|i/CC|correct
mental/AQ|mental/AQ|correct
,/FF|,/FF|correct
una/DI|una/DI|correct
persona/NC|persona/NC|correct
és/VS|és/VS|correct
capaç/AQ|capaç/AQ|correct
de/SP|de/SP|correct
sentir/VM|sentir/VM|correct
compassió/NC|compassió/NC|correct
./FF|./FF|correct
La/DA|La/DA|correct
seva/PX|seva/PX|correct
reacció/NC|reacció/NC|correct
de/SP|de/SP|correct
la/DA|la/DA|correct
visió/NC|visió/NC|correct
de/SP|de/SP|correct
l'/DA|l'/DA|correct
espectacle/NC|espectacle/NC|correct
de/SP|de/SP|correct
l'/DA|l'/DA|correct
animal/NC|animal/NC|correct
,/FF|,/FF|correct
arriba/VM|arriba/VM|correct
a/SP|a/SP|correct
transmetre/VM|transmetre/VM|correct
alguna/DI|alguna/DI|correct
cosa/NC|cosa/NC|correct
de/SP|de/SP|correct
la/DA|la/DA|correct
força/NC|força/NC|correct
vitalitzadora/FF|vitalitzadora/AQ|wrong
que/PR|que/PR|correct
ve/VM|ve/VM|correct
de/SP|de/SP|correct
la/DA|la/DA|correct
compassió/NC|compassió/NC|correct
./FF|./FF|correct
Va/NP|Va/VA|wrong
ser/VS|ser/VS|correct
traduïda/VM|traduïda/VM|correct
a/SP|a/SP|correct
el/DA|el/DA|correct
castellà/NC|castellà/NC|correct
per/SP|per/SP|correct
Miguel_de_Unamuno/NP|Miguel_de_Unamuno/NP|correct
./FF|./FF|correct
El/DA|El/DA|correct
dibuixant/NC|dibuixant/NC|correct
Junceda/NP|Junceda/NP|correct
en/SP|en/PP|wrong
va/VA|va/VA|correct
fer/VM|fer/VM|correct
una/DI|una/DI|correct
recreació/NC|recreació/NC|correct
pictòrica/AQ|pictòrica/AQ|correct
molt/RG|molt/RG|correct
bona/AQ|bona/AQ|correct
./FF|./FF|correct
El/DA|El/DA|correct
poema/NC|poema/NC|correct
./FF|./FF|correct
Topant/RG|Topant/VM|wrong
de/SP|de/SP|correct
cap/NC|cap/NC|correct
en/SP|en/SP|correct
una/DI|una/DI|correct
i/CC|i/CC|correct
altra/DI|altra/DI|correct
soca/NC|soca/NC|correct
,/FF|,/FF|correct
avançant/VM|avançant/VM|correct
d'/SP|d'/SP|correct
esma/NC|esma/NC|correct
per/SP|per/SP|correct
el/DA|el/DA|correct
camí/NC|camí/NC|correct
de/SP|de/SP|correct
l'/DA|l'/DA|correct
aigua/NC|aigua/NC|correct
,/FF|,/FF|correct
se/P0|se/P0|correct
'n/PP|'n/PP|correct
ve/VM|ve/VM|correct
la/DA|la/DA|correct
vaca/NC|vaca/NC|correct
tota/DI|tota/DI|correct
sola/AQ|sola/AQ|correct
./FF|./FF|correct
És/VS|És/VS|correct
cega/AQ|cega/AQ|correct
./FF|./FF|correct
D'/SP|D'/SP|correct
un/DI|un/DI|correct
cop/NC|cop/NC|correct
de/SP|de/SP|correct
roc/NC|roc/NC|correct
llançat/VM|llançat/NC|wrong
amb/SP|amb/SP|correct
massa/DI|massa/DI|correct
traça/NC|traça/NC|correct
,/FF|,/FF|correct
el/DA|el/DA|correct
vailet/NC|vailet/NC|correct
va/VA|va/VA|correct
buidar/VM|buidar/VM|correct
-li/PP|-li/PP|correct
un/DI|un/DI|correct
ull/NC|ull/NC|correct
,/FF|,/FF|correct
i/CC|i/CC|correct
en/SP|en/SP|correct
l'/DA|l'/DA|correct
altre/PI|altre/PI|correct
se/P0|se/P0|correct
li/PP|li/PP|correct
ha/VA|ha/VA|correct
posat/VM|posat/VM|correct
un/DI|un/DI|correct
tel/NC|tel/NC|correct
:/FF|:/FF|correct
la/DA|la/DA|correct
vaca/NC|vaca/NC|correct
és/VS|és/VS|correct
cega/AQ|cega/AQ|correct
./FF|./FF|correct
Ve/RG|Ve/VM|wrong
a/SP|a/SP|correct
abeurar/NC|abeurar/VM|wrong
-se/P0|-se/P0|correct
a/SP|a/SP|correct
la/DA|la/DA|correct
font/NC|font/NC|correct
com/CS|com/CS|correct
ans/VM|ans/RG|wrong
solia/VM|solia/VM|correct
,/FF|,/FF|correct
mes/NC|mes/NC|correct
no/RN|no/RN|correct
amb/SP|amb/SP|correct
el/DA|el/DA|correct
posat/VM|posat/NC|wrong
ferm/RG|ferm/AQ|wrong
d'/SP|d'/SP|correct
altres/DI|altres/DI|correct
vegades/NC|vegades/NC|correct
ni/CC|ni/CC|correct
amb/SP|amb/SP|correct
